Inflation City,,,,,,,,,,,,,
,Month-to-Month Inflation (M-to-M) (Percent),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEMATANG SIANTAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,-,-,-,-,-,-,-,-,-,-,-,-,-
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA CIREBON,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BEKASI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SEMARANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TEGAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,-,-,-,-,-,-,-,-,-,-,-,-,-
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KEDIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MALANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PROBOLINGGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MADIUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURABAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA CILEGON,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SERANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BIMA,-,-,-,-,-,-,-,-,-,-,-,-,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SINGKAWANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SAMPIT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SAMARINDA,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,-,-,-,-,-,-,-,-,-,-,-,-,-
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PARE-PARE,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALOPO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,-,-,-,-,-,-,-,-,-,-,-,-,-
MANOKWARI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAYAPURA,-,-,-,-,-,-,-,-,-,-,-,-,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,-,-,-,-,-,-,-,-,-,-,-